"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"J14";"Molex_KK-254_AE-6410-02A_1x02_P2.54mm_Vertical";1;"KK-254_AE-6410-02A";;;
2;"J10";"BarrelJack_CUI_PJ-102AH_Horizontal";1;"CUI_PJ-102AH";;;
3;"L1,L12,L4,L2,L14,L6,L8,L7,L5,L13,L9,L3,L11,L15,L16,L10";"L_0603_1608Metric";16;"600";;;
4;"J6";"PinHeader_2x05_P1.27mm_Vertical_SMD";1;"Conn_02x05_Odd_Even";;;
5;"C3,C28,C27,C24,C29,C7,C9,C26,C22,C20,C15,C12,C16,C1,C108";"C_0603_1608Metric";15;"4u7";;;
6;"D2,D4,D3,D6,D1,D5";"LED_0603_1608Metric";6;"LED";;;
7;"C18,C25,C5,C34,C10,C30,C17,C21,C13,C14,C19,C4,C11,C23,C2,C6,C8,C111,C106,C109,C117,C110,C107,C116,C118,C102,C115,C104,C105,C103,C112,C101,C113,C114,C119";"C_0402_1005Metric";35;"100n";;;
8;"R8,R21,R19,R14,R20,R2,R18,R9,R111,R108,R109,R104,R105,R110";"R_0402_1005Metric";14;"10K";;;
9;"J4,J9,J7";"PMOD, Through hole";3;"PMOD";;;
10;"J11,J1,J12,J2,J3";"PinSocket_1x06_P2.54mm_Vertical";5;"Conn_01x06";;;
11;"R3,R13,R15,R16,R12,R5,R6,R101";"R_0402_1005Metric";8;"1K";;;
12;"R7,R10,R1,R11,R4,R102,R112";"R_0402_1005Metric";7;"49R9";;;
13;"J8,J5";"PinSocket_2x10_P2.00mm_Vertical";2;"Conn_02x10_Odd_Even";;;
14;"J13";"PinHeader_1x08_P2.54mm_Vertical";1;"Conn_01x08";;;
15;"U1";"Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm";1;"ASDMB-20MHz";;;
16;"U5";"SOIC-8_5.23x5.23mm_P1.27mm";1;"W25Q128JVS";;;
17;"C32,C31";"CP_Elec_8x10";2;"47u";;;
18;"U4";"Oscillator_SMD_Abracon_ASDMB-4Pin_2.5x2.0mm";1;"ASDMB-33M3Hz";;;
19;"R22,R17";"R_0402_1005Metric";2;"0R";;;
20;"U2";"SOT-23-5";1;"TLV75525PDBV";;;
21;"U3";"SOT-23-5";1;"TLV75512PDBV";;;
22;"U103";"SOT-23-6";1;"AOZ1282CI";;;
23;"D101";"D_SMB";1;"B240";;;
24;"L101";"L_Taiyo-Yuden_NR-50xx_HandSoldering";1;"4u7";;;
25;"R107";"R_0402_1005Metric";1;"15K8";;;
26;"R106";"R_0402_1005Metric";1;"49K9";;;
27;"R103";"R_0402_1005Metric";1;"12K";;;
28;"U101";"LQFP-144_20x20mm_P0.5mm";1;"T20Q144";;;
29;"U102";"SOIC-8_5.23x5.23mm_P1.27mm";1;"23LC1024-E/SN";;;
